player,sens,edpi
ozzy,0.6,240.0
pAura,0.42,168.0
PTC,0.3,240.0
paganus,0.14,672.0
Pando,0.15,240.0
Pannshi,0.35,280.0
Paradox,0.205,328.0
ParkJJong,0.693,277.2
pat,0.28,224.0
Patix,0.2,160.0
Pepper,0.7,280.0
perfect,0.335,268.0
Persia,0.27,216.0
Peter,0.22,176.0
Petra,0.36,288.0
Phatt,0.3,240.0
phaze,0.35,280.0
Pkm,0.17,272.0
polvi,0.32,256.0
Pompano,0.15,240.0
PoniX,0.345,276.0
pr0d1gy,0.33,264.0
pr0xy,0.3,240.0
Primmie,0.4,320.0
Proxh,0.25,200.0
pryxi,0.32,256.0
psy,0.21,336.0
Puleule,0.337,269.6
PureVNS,0.31,248.0
PuriTy,0.175,280.0
putte,0.125,200.0
PxS,0.4,320.0
pyrolll,0.21,168.0
pyth,0.62,248.0
q,0.3,240.0
quantumrino,0.31,248.0
Queen Puffy,0.3,240.0
QutionerX,0.214,171.2
qw1,0.69,276.0
R4ve,0.2,320.0
RARE,0.25,200.0
RAYZZ,0.112,179.2
RENZ,0.27,216.0
Rafaaaa,0.5,200.0
Rage,0.45,360.0
Rainy,0.495,198.0
Rambutan,0.4,320.0
Rap1d,0.1,160.0
rawfiul,0.374,299.2
real1seRRR,0.55,220.0
RedLight,0.32,256.0
Redwesty,0.64,256.0
Rei,0.25,200.0
Reita,0.64,256.0
reltuC,0.295,236.0
reshi,0.4,320.0
rest,0.27,216.0
Rexon,0.2,320.0
Rexs,0.3,240.0
rhagee,0.3,240.0
rhyme,0.55,220.0
RiickyC,0.22,396.0
Rip,0.35,280.0
risorah,0.18,288.0
rlz,0.135,216.0
RockeT,0.25,200.0
ross,0.25,200.0
roxie,0.23,184.0
rubkkoide,0.4,320.0
rudi,0.12,192.0
Rudys,0.23,368.0
ruso,0.111,177.6
Russ,0.34,272.0
russ,0.5,400.0
RvK,0.45,360.0
RxYaL,0.13,208.0
s0m,0.8,320.0
SM9LE,0.604,483.2
SN0KEER,0.317,253.6
SPMAK,0.3,480.0
sScary,0.19,304.0
SSeeS,0.211,168.8
STERBEN,0.849,339.6
SUTHER,0.9,360.0
SUYGETSU,0.25,200.0
Saadhak,0.23,368.0
Sabortzz,0.25,225.0
Sady,0.2,320.0
sae2,0.14,224.0
Sak,0.595,476.0
sakurai,0.8,320.0
Salty,0.3,240.0
Samsi,0.41,328.0
Sane,0.25,200.0
Sayaplayer,0.339,339.0
Sayled,0.208,166.4
scarx,2.0,800.0
scourge,0.416,332.8
ScreaM,0.196,313.6
ScrewFace,0.35,280.0
Scrounge,0.15,240.0
seb,0.42,168.0
SecDet,0.3,240.0
Seoldam,0.125,200.0
Seraph,0.29,232.0
Sereen,0.38,304.0
sfal,0.25,200.0
sgares,0.315,252.0
ShadoW,0.408,163.2
shadow,0.45,360.0
Shao,0.3,240.0
Sharky,0.3,240.0
Shawn,0.5,600.0
Shazeon,0.3,240.0
shiio,0.47,188.0
shirazi,0.32,256.0
shroud,0.78,351.0
shy,0.54,216.0
SicK,0.235,188.0
SimonD4rk,0.205,164.0
sinatraa,0.387,309.6
SiuFatBB,0.155,248.0
Skayuf,0.34,272.0
Smoggy,0.4,320.0
SmokeA,0.747,298.8
Snapss,0.25,600.0
snw,0.4,320.0
snxper,0.65,520.0
solution,0.18,288.0
something,0.5,400.0
Son,0.2,160.0
sonder,0.235,188.0
soulM8,0.255,204.0
soulcas,0.121,193.6
Soulmy,0.2,480.0
soze,0.112,179.2
SparkeR,0.289,231.2
Spitzer,0.23,230.0
Splash,0.125,200.0
Spocki,0.181,289.6
stanley,0.728,582.4
starxo,0.475,380.0
